Plugin, Num Pods, Iteration, Total Delete Latency (ms), Average Delete Latency per Pod (ms), Batch Delete Time (ms), Average Batch Delete Time (ms), Final Average Delete Latency per Pod for all iterations (ms)
ath-cam, 10, 1, 18044, 1804, 2249, 2121, 1809
ath-cam, 10, 2, 17462, 1746, 2017, 2121, 1809
ath-cam, 10, 3, 17787, 1778, 2050, 2121, 1809
ath-cam, 10, 4, 18495, 1849, 2151, 2121, 1809
ath-cam, 10, 5, 18254, 1825, 2118, 2121, 1809
ath-cam, 10, 6, 18547, 1854, 2144, 2121, 1809
ath-cam, 100, 1, 448427, 4484, 7916, 12861, 8838
ath-cam, 100, 2, 516082, 5160, 8522, 12861, 8838
ath-cam, 100, 3, 2951897, 29518, 36591, 12861, 8838
ath-cam, 100, 4, 483251, 4832, 8299, 12861, 8838
ath-cam, 100, 5, 444413, 4444, 7857, 12861, 8838
ath-cam, 100, 6, 458868, 4588, 7984, 12861, 8838
ath-cam, 150, 1, 1087482, 7249, 12529, 12008, 6669
ath-cam, 150, 2, 1008531, 6723, 12077, 12008, 6669
ath-cam, 150, 3, 1062764, 7085, 12496, 12008, 6669
ath-cam, 150, 4, 955759, 6371, 11710, 12008, 6669
ath-cam, 150, 5, 925235, 6168, 11502, 12008, 6669
ath-cam, 150, 6, 962547, 6416, 11736, 12008, 6669
ath-cam, 50, 1, 138833, 2776, 4415, 4479, 2859
ath-cam, 50, 2, 156316, 3126, 4779, 4479, 2859
ath-cam, 50, 3, 136682, 2733, 4360, 4479, 2859
ath-cam, 50, 4, 148295, 2965, 4573, 4479, 2859
ath-cam, 50, 5, 132760, 2655, 4263, 4479, 2859
ath-cam, 50, 6, 144825, 2896, 4484, 4479, 2859
