Pod Name, Delete Start Timestamp, Deleted Confirmed Timestamp, Delete Latency (milliseconds)
pause-pod-1-1, 1764631856766, 1764631857623, 857
pause-pod-1-2, 1764631856767, 1764631857683, 916
pause-pod-1-3, 1764631856769, 1764631858605, 1836
pause-pod-1-4, 1764631856771, 1764631858667, 1896
pause-pod-1-5, 1764631856773, 1764631858725, 1952
pause-pod-1-6, 1764631856775, 1764631858783, 2008
pause-pod-1-7, 1764631856777, 1764631858840, 2063
pause-pod-1-8, 1764631856780, 1764631858897, 2117
pause-pod-1-9, 1764631856782, 1764631858954, 2172
pause-pod-1-10, 1764631856784, 1764631859011, 2227
pause-pod-2-1, 1764631922265, 1764631923756, 1491
pause-pod-2-2, 1764631922267, 1764631923820, 1553
pause-pod-2-3, 1764631922269, 1764631923878, 1609
pause-pod-2-4, 1764631922271, 1764631923935, 1664
pause-pod-2-5, 1764631922273, 1764631923994, 1721
pause-pod-2-6, 1764631922276, 1764631924051, 1775
pause-pod-2-7, 1764631922278, 1764631924108, 1830
pause-pod-2-8, 1764631922280, 1764631924165, 1885
pause-pod-2-9, 1764631922282, 1764631924222, 1940
pause-pod-2-10, 1764631922285, 1764631924279, 1994
pause-pod-3-1, 1764631987395, 1764631988925, 1530
pause-pod-3-2, 1764631987397, 1764631988984, 1587
pause-pod-3-3, 1764631987399, 1764631989041, 1642
pause-pod-3-4, 1764631987401, 1764631989098, 1697
pause-pod-3-5, 1764631987403, 1764631989154, 1751
pause-pod-3-6, 1764631987404, 1764631989210, 1806
pause-pod-3-7, 1764631987407, 1764631989267, 1860
pause-pod-3-8, 1764631987409, 1764631989325, 1916
pause-pod-3-9, 1764631987412, 1764631989384, 1972
pause-pod-3-10, 1764631987415, 1764631989441, 2026
pause-pod-4-1, 1764632052536, 1764632054058, 1522
pause-pod-4-2, 1764632052538, 1764632054118, 1580
pause-pod-4-3, 1764632052539, 1764632054176, 1637
pause-pod-4-4, 1764632052541, 1764632054337, 1796
pause-pod-4-5, 1764632052542, 1764632054396, 1854
pause-pod-4-6, 1764632052544, 1764632054454, 1910
pause-pod-4-7, 1764632052546, 1764632054512, 1966
pause-pod-4-8, 1764632052548, 1764632054569, 2021
pause-pod-4-9, 1764632052550, 1764632054627, 2077
pause-pod-4-10, 1764632052552, 1764632054684, 2132
pause-pod-5-1, 1764632117798, 1764632119173, 1375
pause-pod-5-2, 1764632117800, 1764632119455, 1655
pause-pod-5-3, 1764632117802, 1764632119513, 1711
pause-pod-5-4, 1764632117804, 1764632119570, 1766
pause-pod-5-5, 1764632117806, 1764632119627, 1821
pause-pod-5-6, 1764632117808, 1764632119684, 1876
pause-pod-5-7, 1764632117811, 1764632119740, 1929
pause-pod-5-8, 1764632117813, 1764632119798, 1985
pause-pod-5-9, 1764632117815, 1764632119856, 2041
pause-pod-5-10, 1764632117818, 1764632119913, 2095
pause-pod-6-1, 1764632182949, 1764632184352, 1403
pause-pod-6-2, 1764632182950, 1764632184632, 1682
pause-pod-6-3, 1764632182952, 1764632184691, 1739
pause-pod-6-4, 1764632182954, 1764632184748, 1794
pause-pod-6-5, 1764632182955, 1764632184806, 1851
pause-pod-6-6, 1764632182957, 1764632184863, 1906
pause-pod-6-7, 1764632182959, 1764632184920, 1961
pause-pod-6-8, 1764632182961, 1764632184977, 2016
pause-pod-6-9, 1764632182963, 1764632185033, 2070
pause-pod-6-10, 1764632182965, 1764632185090, 2125
