Plugin, Num Pods, Iteration, Total Latency (ms), Average Latency per Pod (ms), Batch Readiness Time (ms), Average Batch Readiness Time (ms), Final Average Latency per Pod for all iterations (ms)
uc1, 100, 1, 2692890, 26928, 41805, 41699, 26900
uc1, 100, 2, 2633849, 26338, 41031, 41699, 26900
uc1, 100, 3, 2691062, 26910, 41738, 41699, 26900
uc1, 100, 4, 2685675, 26856, 41615, 41699, 26900
uc1, 100, 5, 2723469, 27234, 42198, 41699, 26900
uc1, 100, 6, 2713277, 27132, 41808, 41699, 26900
uc1, 10, 1, 46300, 4630, 5947, 5095, 3821
uc1, 10, 2, 29038, 2903, 4151, 5095, 3821
uc1, 10, 3, 30812, 3081, 4414, 5095, 3821
uc1, 10, 4, 30607, 3060, 4363, 5095, 3821
uc1, 10, 5, 58508, 5850, 7031, 5095, 3821
uc1, 10, 6, 34033, 3403, 4666, 5095, 3821
uc1, 150, 1, 5874575, 39163, 62124, 62483, 39520
uc1, 150, 2, 5891887, 39279, 62267, 62483, 39520
uc1, 150, 3, 5901019, 39340, 61946, 62483, 39520
uc1, 150, 4, 5984571, 39897, 62999, 62483, 39520
uc1, 150, 5, 6085299, 40568, 63620, 62483, 39520
uc1, 150, 6, 5830820, 38872, 61943, 62483, 39520
uc1, 1, 1, 3353, 3353, 3356, 1688, 1683
uc1, 1, 2, 1347, 1347, 1353, 1688, 1683
uc1, 1, 3, 1351, 1351, 1357, 1688, 1683
uc1, 1, 4, 1343, 1343, 1349, 1688, 1683
uc1, 1, 5, 1368, 1368, 1373, 1688, 1683
uc1, 1, 6, 1336, 1336, 1343, 1688, 1683
uc1, 50, 1, 621835, 12436, 19538, 19910, 12858
uc1, 50, 2, 591447, 11828, 18626, 19910, 12858
uc1, 50, 3, 626078, 12521, 19376, 19910, 12858
uc1, 50, 4, 686391, 13727, 20906, 19910, 12858
uc1, 50, 5, 677341, 13546, 20827, 19910, 12858
uc1, 50, 6, 654447, 13088, 20190, 19910, 12858
