Plugin, Num Pods, Iteration, Total Delete Latency (ms), Average Delete Latency per Pod (ms), Batch Delete Time (ms), Average Batch Delete Time (ms), Final Average Delete Latency per Pod for all iterations (ms)
uc1, 100, 1, 1279847, 12798, 22759, 23504, 13501
uc1, 100, 2, 1330345, 13303, 22997, 23504, 13501
uc1, 100, 3, 1394964, 13949, 23700, 23504, 13501
uc1, 100, 4, 1393101, 13931, 24247, 23504, 13501
uc1, 100, 5, 1293572, 12935, 22979, 23504, 13501
uc1, 100, 6, 1409287, 14092, 24345, 23504, 13501
uc1, 10, 1, 21994, 2199, 3045, 2947, 2109
uc1, 10, 2, 21532, 2153, 2976, 2947, 2109
uc1, 10, 3, 20918, 2091, 2914, 2947, 2109
uc1, 10, 4, 21178, 2117, 2936, 2947, 2109
uc1, 10, 5, 19861, 1986, 2881, 2947, 2109
uc1, 10, 6, 21095, 2109, 2931, 2947, 2109
uc1, 150, 1, 2921208, 19474, 35089, 35440, 19744
uc1, 150, 2, 2979329, 19862, 35828, 35440, 19744
uc1, 150, 3, 2877221, 19181, 34637, 35440, 19744
uc1, 150, 4, 2874971, 19166, 34497, 35440, 19744
uc1, 150, 5, 3203219, 21354, 37454, 35440, 19744
uc1, 150, 6, 2913804, 19425, 35139, 35440, 19744
uc1, 1, 1, 2862, 2862, 2867, 2030, 2025
uc1, 1, 2, 1873, 1873, 1877, 2030, 2025
uc1, 1, 3, 1840, 1840, 1846, 2030, 2025
uc1, 1, 4, 1838, 1838, 1844, 2030, 2025
uc1, 1, 5, 1867, 1867, 1871, 2030, 2025
uc1, 1, 6, 1875, 1875, 1879, 2030, 2025
uc1, 50, 1, 331716, 6634, 11294, 11725, 7023
uc1, 50, 2, 363197, 7263, 11767, 11725, 7023
uc1, 50, 3, 355081, 7101, 11727, 11725, 7023
uc1, 50, 4, 353496, 7069, 11860, 11725, 7023
uc1, 50, 5, 374961, 7499, 12411, 11725, 7023
uc1, 50, 6, 328469, 6569, 11292, 11725, 7023
