Plugin, Num Pods, Iteration, Total Latency (ms), Average Latency per Pod (ms), Batch Readiness Time (ms), Average Batch Readiness Time (ms), Final Average Latency per Pod for all iterations (ms)
ath-cam, 10, 1, 24663, 2466, 3324, 3086, 2335
ath-cam, 10, 2, 24447, 2444, 3170, 3086, 2335
ath-cam, 10, 3, 23076, 2307, 3033, 3086, 2335
ath-cam, 10, 4, 22872, 2287, 3010, 3086, 2335
ath-cam, 10, 5, 22916, 2291, 3029, 3086, 2335
ath-cam, 10, 6, 22144, 2214, 2952, 3086, 2335
ath-cam, 100, 1, 1122342, 11223, 20735, 20840, 11440
ath-cam, 100, 2, 1159655, 11596, 21044, 20840, 11440
ath-cam, 100, 3, 1176869, 11768, 21028, 20840, 11440
ath-cam, 100, 4, 1121178, 11211, 20755, 20840, 11440
ath-cam, 100, 5, 1127318, 11273, 20583, 20840, 11440
ath-cam, 100, 6, 1156969, 11569, 20899, 20840, 11440
ath-cam, 150, 1, 2644143, 17627, 32285, 32341, 17716
ath-cam, 150, 2, 2669179, 17794, 32407, 32341, 17716
ath-cam, 150, 3, 2667777, 17785, 32469, 32341, 17716
ath-cam, 150, 4, 2646215, 17641, 32307, 32341, 17716
ath-cam, 150, 5, 2680785, 17871, 32372, 32341, 17716
ath-cam, 150, 6, 2636482, 17576, 32209, 32341, 17716
ath-cam, 50, 1, 309502, 6190, 10364, 10523, 6316
ath-cam, 50, 2, 317342, 6346, 10564, 10523, 6316
ath-cam, 50, 3, 308641, 6172, 10413, 10523, 6316
ath-cam, 50, 4, 328204, 6564, 10734, 10523, 6316
ath-cam, 50, 5, 313408, 6268, 10459, 10523, 6316
ath-cam, 50, 6, 317938, 6358, 10607, 10523, 6316
