Pod Name, Creation Timestamp, Ready Timestamp, Latency (milliseconds)
pause-pod-1-1, 1764633259175, 1764633267509, 8334
pause-pod-1-2, 1764633259177, 1764633267730, 8553
pause-pod-1-3, 1764633259180, 1764633267973, 8793
pause-pod-1-4, 1764633259182, 1764633268185, 9003
pause-pod-1-5, 1764633259185, 1764633268395, 9210
pause-pod-1-6, 1764633259188, 1764633268586, 9398
pause-pod-1-7, 1764633259191, 1764633268755, 9564
pause-pod-1-8, 1764633259194, 1764633268915, 9721
pause-pod-1-9, 1764633259197, 1764633269073, 9876
pause-pod-1-10, 1764633259200, 1764633269238, 10038
pause-pod-1-11, 1764633259203, 1764633269404, 10201
pause-pod-1-12, 1764633259207, 1764633269562, 10355
pause-pod-1-13, 1764633259211, 1764633269721, 10510
pause-pod-1-14, 1764633259217, 1764633269879, 10662
pause-pod-1-15, 1764633259220, 1764633270040, 10820
pause-pod-1-16, 1764633259242, 1764633270199, 10957
pause-pod-1-17, 1764633259246, 1764633270357, 11111
pause-pod-1-18, 1764633259249, 1764633270515, 11266
pause-pod-1-19, 1764633259254, 1764633270673, 11419
pause-pod-1-20, 1764633259264, 1764633270832, 11568
pause-pod-1-21, 1764633259277, 1764633270991, 11714
pause-pod-1-22, 1764633259332, 1764633271149, 11817
pause-pod-1-23, 1764633259358, 1764633271308, 11950
pause-pod-1-24, 1764633259362, 1764633271465, 12103
pause-pod-1-25, 1764633259389, 1764633271627, 12238
pause-pod-1-26, 1764633259418, 1764633271784, 12366
pause-pod-1-27, 1764633259451, 1764633271942, 12491
pause-pod-1-28, 1764633259477, 1764633272100, 12623
pause-pod-1-29, 1764633259510, 1764633272264, 12754
pause-pod-1-30, 1764633259543, 1764633272423, 12880
pause-pod-1-31, 1764633259575, 1764633272580, 13005
pause-pod-1-32, 1764633259639, 1764633272738, 13099
pause-pod-1-33, 1764633259654, 1764633272897, 13243
pause-pod-1-34, 1764633259680, 1764633273056, 13376
pause-pod-1-35, 1764633259717, 1764633273214, 13497
pause-pod-1-36, 1764633259861, 1764633273372, 13511
pause-pod-1-37, 1764633259879, 1764633273530, 13651
pause-pod-1-38, 1764633259904, 1764633273688, 13784
pause-pod-1-39, 1764633259954, 1764633273846, 13892
pause-pod-1-40, 1764633259964, 1764633274003, 14039
pause-pod-1-41, 1764633260005, 1764633274161, 14156
pause-pod-1-42, 1764633260064, 1764633274318, 14254
pause-pod-1-43, 1764633260084, 1764633274478, 14394
pause-pod-1-44, 1764633260095, 1764633274636, 14541
pause-pod-1-45, 1764633260125, 1764633274795, 14670
pause-pod-1-46, 1764633260179, 1764633274953, 14774
pause-pod-1-47, 1764633260278, 1764633275112, 14834
pause-pod-1-48, 1764633260287, 1764633275270, 14983
pause-pod-1-49, 1764633260291, 1764633275429, 15138
pause-pod-1-50, 1764633260343, 1764633275587, 15244
pause-pod-1-51, 1764633260357, 1764633275746, 15389
pause-pod-1-52, 1764633260390, 1764633275904, 15514
pause-pod-1-53, 1764633260442, 1764633276062, 15620
pause-pod-1-54, 1764633260549, 1764633276221, 15672
pause-pod-1-55, 1764633260598, 1764633276380, 15782
pause-pod-1-56, 1764633260616, 1764633276540, 15924
pause-pod-1-57, 1764633260662, 1764633276698, 16036
pause-pod-1-58, 1764633260831, 1764633276857, 16026
pause-pod-1-59, 1764633260898, 1764633277016, 16118
pause-pod-1-60, 1764633261028, 1764633277175, 16147
