Pod Name, Delete Start Timestamp, Deleted Confirmed Timestamp, Delete Latency (milliseconds)
pause-pod-1-1, 1764633291682, 1764633294169, 2487
pause-pod-1-2, 1764633291684, 1764633294265, 2581
pause-pod-1-3, 1764633291687, 1764633294386, 2699
pause-pod-1-4, 1764633291689, 1764633294540, 2851
pause-pod-1-5, 1764633291691, 1764633294632, 2941
pause-pod-1-6, 1764633291694, 1764633294752, 3058
pause-pod-1-7, 1764633291697, 1764633294843, 3146
pause-pod-1-8, 1764633291700, 1764633294973, 3273
pause-pod-1-9, 1764633291703, 1764633295046, 3343
pause-pod-1-10, 1764633291705, 1764633295188, 3483
pause-pod-1-11, 1764633291708, 1764633295265, 3557
pause-pod-1-12, 1764633291711, 1764633295340, 3629
pause-pod-1-13, 1764633291716, 1764633296087, 4371
pause-pod-1-14, 1764633291719, 1764633296159, 4440
pause-pod-1-15, 1764633291722, 1764633296240, 4518
pause-pod-1-16, 1764633291725, 1764633296359, 4634
pause-pod-1-17, 1764633291730, 1764633296426, 4696
pause-pod-1-18, 1764633291736, 1764633296493, 4757
pause-pod-1-19, 1764633291739, 1764633296557, 4818
pause-pod-1-20, 1764633291742, 1764633296620, 4878
pause-pod-1-21, 1764633291746, 1764633296688, 4942
pause-pod-1-22, 1764633291749, 1764633296748, 4999
pause-pod-1-23, 1764633291753, 1764633296808, 5055
pause-pod-1-24, 1764633291779, 1764633296872, 5093
pause-pod-1-25, 1764633291785, 1764633296933, 5148
pause-pod-1-26, 1764633291789, 1764633296996, 5207
pause-pod-1-27, 1764633291814, 1764633297054, 5240
pause-pod-1-28, 1764633291826, 1764633297117, 5291
pause-pod-1-29, 1764633291834, 1764633297178, 5344
pause-pod-1-30, 1764633291847, 1764633297237, 5390
pause-pod-1-31, 1764633291872, 1764633297296, 5424
pause-pod-1-32, 1764633291894, 1764633297357, 5463
pause-pod-1-33, 1764633291907, 1764633297417, 5510
pause-pod-1-34, 1764633291926, 1764633297480, 5554
pause-pod-1-35, 1764633291933, 1764633297543, 5610
pause-pod-1-36, 1764633291938, 1764633297606, 5668
