Plugin, Num Pods, Iteration, Total Latency (ms), Average Latency per Pod (ms), Batch Readiness Time (ms), Average Batch Readiness Time (ms), Final Average Latency per Pod for all iterations (ms)
uc1, 100, 1, 1748267, 17482, 28067, 25850, 15267
uc1, 100, 2, 1447953, 14479, 25126, 25850, 15267
uc1, 100, 3, 1551378, 15513, 25818, 25850, 15267
uc1, 100, 4, 1459437, 14594, 25115, 25850, 15267
uc1, 100, 5, 1397564, 13975, 24807, 25850, 15267
uc1, 100, 6, 1556009, 15560, 26170, 25850, 15267
uc1, 10, 1, 39702, 3970, 4779, 6133, 4072
uc1, 10, 2, 83959, 8395, 16925, 6133, 4072
uc1, 10, 3, 25803, 2580, 3348, 6133, 4072
uc1, 10, 4, 30560, 3056, 3815, 6133, 4072
uc1, 10, 5, 31981, 3198, 3944, 6133, 4072
uc1, 10, 6, 32367, 3236, 3988, 6133, 4072
uc1, 150, 1, 3201191, 21341, 37659, 37727, 21198
uc1, 150, 2, 3126127, 20840, 37354, 37727, 21198
uc1, 150, 3, 3119584, 20797, 37212, 37727, 21198
uc1, 150, 4, 3286940, 21912, 38357, 37727, 21198
uc1, 150, 5, 3158660, 21057, 38010, 37727, 21198
uc1, 150, 6, 3185924, 21239, 37770, 37727, 21198
uc1, 1, 1, 2894, 2894, 2895, 1417, 1415
uc1, 1, 2, 1136, 1136, 1138, 1417, 1415
uc1, 1, 3, 1144, 1144, 1146, 1417, 1415
uc1, 1, 4, 1148, 1148, 1149, 1417, 1415
uc1, 1, 5, 1155, 1155, 1157, 1417, 1415
uc1, 1, 6, 1017, 1017, 1019, 1417, 1415
uc1, 50, 1, 679409, 13588, 18109, 16087, 10787
uc1, 50, 2, 479662, 9593, 14311, 16087, 10787
uc1, 50, 3, 413889, 8277, 13027, 16087, 10787
uc1, 50, 4, 447964, 8959, 13751, 16087, 10787
uc1, 50, 5, 720868, 14417, 22690, 16087, 10787
uc1, 50, 6, 494361, 9887, 14635, 16087, 10787
