Plugin, Num Pods, Iteration, Total Delete Latency (ms), Average Delete Latency per Pod (ms), Batch Delete Time (ms), Average Batch Delete Time (ms), Final Average Delete Latency per Pod for all iterations (ms)
uc1, 100, 1, 1068342, 10683, 14969, 12826, 8634
uc1, 100, 2, 890180, 8901, 13335, 12826, 8634
uc1, 100, 3, 709507, 7095, 11193, 12826, 8634
uc1, 100, 4, 851507, 8515, 12956, 12826, 8634
uc1, 100, 5, 796385, 7963, 11769, 12826, 8634
uc1, 100, 6, 864689, 8646, 12735, 12826, 8634
uc1, 10, 1, 19132, 1913, 2176, 2288, 1983
uc1, 10, 2, 15836, 1583, 1975, 2288, 1983
uc1, 10, 3, 26087, 2608, 2931, 2288, 1983
uc1, 10, 4, 14578, 1457, 1750, 2288, 1983
uc1, 10, 5, 22630, 2263, 2514, 2288, 1983
uc1, 10, 6, 20729, 2072, 2386, 2288, 1983
uc1, 150, 1, 1875292, 12501, 18973, 20202, 13782
uc1, 150, 2, 1899683, 12664, 18754, 20202, 13782
uc1, 150, 3, 2130485, 14203, 20699, 20202, 13782
uc1, 150, 4, 1952293, 13015, 19392, 20202, 13782
uc1, 150, 5, 2096722, 13978, 20496, 20202, 13782
uc1, 150, 6, 2449826, 16332, 22898, 20202, 13782
uc1, 1, 1, 2978, 2978, 2981, 2163, 2160
uc1, 1, 2, 1989, 1989, 1992, 2163, 2160
uc1, 1, 3, 1929, 1929, 1933, 2163, 2160
uc1, 1, 4, 1932, 1932, 1934, 2163, 2160
uc1, 1, 5, 2084, 2084, 2086, 2163, 2160
uc1, 1, 6, 2050, 2050, 2053, 2163, 2160
uc1, 50, 1, 248532, 4970, 6869, 7727, 5682
uc1, 50, 2, 299450, 5989, 7798, 7727, 5682
uc1, 50, 3, 329637, 6592, 8751, 7727, 5682
uc1, 50, 4, 243062, 4861, 7276, 7727, 5682
uc1, 50, 5, 323812, 6476, 8691, 7727, 5682
uc1, 50, 6, 260303, 5206, 6980, 7727, 5682
