Pod Name, Delete Start Timestamp, Deleted Confirmed Timestamp, Delete Latency (milliseconds)
pause-pod-1-1, 1764590225794, 1764590228703, 2909
pause-pod-1-2, 1764590225796, 1764590228772, 2976
pause-pod-1-3, 1764590225798, 1764590228952, 3154
pause-pod-1-4, 1764590225802, 1764590229602, 3800
pause-pod-1-5, 1764590225821, 1764590229720, 3899
pause-pod-1-6, 1764590225822, 1764590229808, 3986
pause-pod-1-7, 1764590225843, 1764590229862, 4019
pause-pod-1-8, 1764590225876, 1764590229959, 4083
pause-pod-1-9, 1764590225885, 1764590230019, 4134
pause-pod-1-10, 1764590225889, 1764590234386, 8497
pause-pod-1-11, 1764590225892, 1764590234447, 8555
pause-pod-1-12, 1764590225895, 1764590234519, 8624
pause-pod-1-13, 1764590225922, 1764590234648, 8726
pause-pod-1-14, 1764590225946, 1764590234724, 8778
pause-pod-1-15, 1764590226001, 1764590234810, 8809
pause-pod-1-16, 1764590226027, 1764590235019, 8992
pause-pod-1-17, 1764590226030, 1764590235140, 9110
pause-pod-1-18, 1764590226032, 1764590235838, 9806
pause-pod-1-19, 1764590226034, 1764590235919, 9885
pause-pod-1-20, 1764590226037, 1764590235992, 9955
pause-pod-1-21, 1764590226041, 1764590236076, 10035
pause-pod-1-22, 1764590226046, 1764590236155, 10109
pause-pod-1-23, 1764590226075, 1764590236240, 10165
pause-pod-1-24, 1764590226124, 1764590236333, 10209
pause-pod-1-25, 1764590226203, 1764590236404, 10201
pause-pod-1-26, 1764590226257, 1764590236473, 10216
pause-pod-1-27, 1764590226259, 1764590236533, 10274
pause-pod-1-28, 1764590226264, 1764590236589, 10325
pause-pod-1-29, 1764590226276, 1764590236641, 10365
pause-pod-1-30, 1764590226284, 1764590236690, 10406
pause-pod-1-31, 1764590226287, 1764590236760, 10473
pause-pod-1-32, 1764590226327, 1764590236818, 10491
pause-pod-1-33, 1764590226339, 1764590236875, 10536
pause-pod-1-34, 1764590226348, 1764590236930, 10582
pause-pod-1-35, 1764590226376, 1764590236989, 10613
pause-pod-1-36, 1764590226401, 1764590237046, 10645
pause-pod-1-37, 1764590226415, 1764590237108, 10693
pause-pod-1-38, 1764590226455, 1764590237162, 10707
pause-pod-1-39, 1764590226468, 1764590237246, 10778
pause-pod-1-40, 1764590226472, 1764590237303, 10831
pause-pod-1-41, 1764590226503, 1764590237357, 10854
pause-pod-1-42, 1764590226517, 1764590237418, 10901
pause-pod-1-43, 1764590226534, 1764590237474, 10940
pause-pod-1-44, 1764590226539, 1764590237540, 11001
pause-pod-1-45, 1764590226557, 1764590237677, 11120
pause-pod-1-46, 1764590226584, 1764590237730, 11146
pause-pod-1-47, 1764590226587, 1764590237782, 11195
pause-pod-1-48, 1764590226591, 1764590237837, 11246
pause-pod-1-49, 1764590226594, 1764590237894, 11300
pause-pod-1-50, 1764590226620, 1764590237957, 11337
pause-pod-1-51, 1764590226652, 1764590238011, 11359
pause-pod-1-52, 1764590226655, 1764590238066, 11411
pause-pod-1-53, 1764590226656, 1764590238132, 11476
pause-pod-1-54, 1764590226664, 1764590238184, 11520
pause-pod-1-55, 1764590226688, 1764590238233, 11545
pause-pod-1-56, 1764590226689, 1764590238284, 11595
pause-pod-1-57, 1764590226745, 1764590238340, 11595
pause-pod-1-58, 1764590226758, 1764590238400, 11642
pause-pod-1-59, 1764590226838, 1764590238469, 11631
pause-pod-1-60, 1764590226847, 1764590238533, 11686
pause-pod-1-61, 1764590226849, 1764590238592, 11743
pause-pod-1-62, 1764590226869, 1764590238644, 11775
pause-pod-1-63, 1764590226874, 1764590238709, 11835
pause-pod-1-64, 1764590226877, 1764590238769, 11892
pause-pod-1-65, 1764590226912, 1764590238830, 11918
pause-pod-1-66, 1764590226951, 1764590238892, 11941
pause-pod-1-67, 1764590226954, 1764590238943, 11989
pause-pod-1-68, 1764590226976, 1764590238994, 12018
pause-pod-1-69, 1764590226981, 1764590239046, 12065
pause-pod-1-70, 1764590226998, 1764590239113, 12115
pause-pod-1-71, 1764590227000, 1764590239175, 12175
pause-pod-1-72, 1764590227003, 1764590239224, 12221
pause-pod-1-73, 1764590227024, 1764590239280, 12256
pause-pod-1-74, 1764590227028, 1764590239340, 12312
pause-pod-1-75, 1764590227053, 1764590239390, 12337
pause-pod-1-76, 1764590227076, 1764590239436, 12360
pause-pod-1-77, 1764590227077, 1764590239494, 12417
pause-pod-1-78, 1764590227082, 1764590239538, 12456
pause-pod-1-79, 1764590227174, 1764590239590, 12416
pause-pod-1-80, 1764590227216, 1764590239642, 12426
pause-pod-1-81, 1764590227221, 1764590239692, 12471
pause-pod-1-82, 1764590227229, 1764590239741, 12512
pause-pod-1-83, 1764590227239, 1764590239797, 12558
pause-pod-1-84, 1764590227278, 1764590239868, 12590
pause-pod-1-85, 1764590227279, 1764590239932, 12653
pause-pod-1-86, 1764590227281, 1764590239983, 12702
pause-pod-1-87, 1764590227282, 1764590240037, 12755
pause-pod-1-88, 1764590227299, 1764590240093, 12794
pause-pod-1-89, 1764590227314, 1764590240141, 12827
pause-pod-1-90, 1764590227317, 1764590240206, 12889
pause-pod-1-91, 1764590227320, 1764590240263, 12943
pause-pod-1-92, 1764590227334, 1764590240321, 12987
pause-pod-1-93, 1764590227351, 1764590240385, 13034
pause-pod-1-94, 1764590227374, 1764590240440, 13066
pause-pod-1-95, 1764590227408, 1764590240496, 13088
pause-pod-1-96, 1764590227442, 1764590240554, 13112
pause-pod-1-97, 1764590227449, 1764590240609, 13160
pause-pod-1-98, 1764590227464, 1764590240660, 13196
pause-pod-1-99, 1764590227478, 1764590240709, 13231
pause-pod-1-100, 1764590227503, 1764590240759, 13256
pause-pod-2-1, 1764590326033, 1764590328070, 2037
pause-pod-2-2, 1764590326035, 1764590328611, 2576
pause-pod-2-3, 1764590326036, 1764590328705, 2669
pause-pod-2-4, 1764590326050, 1764590328775, 2725
pause-pod-2-5, 1764590326076, 1764590328846, 2770
pause-pod-2-6, 1764590326077, 1764590331711, 5634
pause-pod-2-7, 1764590326079, 1764590331781, 5702
pause-pod-2-8, 1764590326080, 1764590331855, 5775
pause-pod-2-9, 1764590326087, 1764590331925, 5838
pause-pod-2-10, 1764590326107, 1764590332025, 5918
pause-pod-2-11, 1764590326142, 1764590332126, 5984
pause-pod-2-12, 1764590326150, 1764590332195, 6045
pause-pod-2-13, 1764590326154, 1764590332334, 6180
pause-pod-2-14, 1764590326156, 1764590332414, 6258
pause-pod-2-15, 1764590326180, 1764590332508, 6328
pause-pod-2-16, 1764590326213, 1764590332590, 6377
pause-pod-2-17, 1764590326218, 1764590332665, 6447
pause-pod-2-18, 1764590326252, 1764590332764, 6512
pause-pod-2-19, 1764590326268, 1764590332885, 6617
pause-pod-2-20, 1764590326310, 1764590332974, 6664
pause-pod-2-21, 1764590326331, 1764590333246, 6915
pause-pod-2-22, 1764590326356, 1764590333366, 7010
pause-pod-2-23, 1764590326366, 1764590333517, 7151
pause-pod-2-24, 1764590326369, 1764590333581, 7212
pause-pod-2-25, 1764590326394, 1764590333745, 7351
pause-pod-2-26, 1764590326395, 1764590333985, 7590
pause-pod-2-27, 1764590326396, 1764590334066, 7670
pause-pod-2-28, 1764590326398, 1764590334240, 7842
pause-pod-2-29, 1764590326403, 1764590334495, 8092
pause-pod-2-30, 1764590326404, 1764590334702, 8298
pause-pod-2-31, 1764590326406, 1764590334824, 8418
pause-pod-2-32, 1764590326419, 1764590334949, 8530
pause-pod-2-33, 1764590326433, 1764590335166, 8733
pause-pod-2-34, 1764590326461, 1764590335268, 8807
pause-pod-2-35, 1764590326477, 1764590335437, 8960
pause-pod-2-36, 1764590326556, 1764590335488, 8932
pause-pod-2-37, 1764590326601, 1764590335551, 8950
pause-pod-2-38, 1764590326614, 1764590335600, 8986
pause-pod-2-39, 1764590326633, 1764590335648, 9015
pause-pod-2-40, 1764590326636, 1764590335703, 9067
pause-pod-2-41, 1764590326658, 1764590335770, 9112
pause-pod-2-42, 1764590326661, 1764590335822, 9161
pause-pod-2-43, 1764590326677, 1764590335878, 9201
pause-pod-2-44, 1764590326678, 1764590335926, 9248
pause-pod-2-45, 1764590326681, 1764590335983, 9302
pause-pod-2-46, 1764590326683, 1764590336039, 9356
pause-pod-2-47, 1764590326686, 1764590336105, 9419
pause-pod-2-48, 1764590326690, 1764590336156, 9466
pause-pod-2-49, 1764590326700, 1764590336213, 9513
pause-pod-2-50, 1764590326735, 1764590336270, 9535
pause-pod-2-51, 1764590326834, 1764590336321, 9487
pause-pod-2-52, 1764590326856, 1764590336375, 9519
pause-pod-2-53, 1764590326862, 1764590336460, 9598
pause-pod-2-54, 1764590326879, 1764590336520, 9641
pause-pod-2-55, 1764590326939, 1764590336570, 9631
pause-pod-2-56, 1764590326946, 1764590336627, 9681
pause-pod-2-57, 1764590326949, 1764590336685, 9736
pause-pod-2-58, 1764590326970, 1764590336742, 9772
pause-pod-2-59, 1764590326981, 1764590336797, 9816
pause-pod-2-60, 1764590326983, 1764590336849, 9866
pause-pod-2-61, 1764590326985, 1764590336898, 9913
