Plugin, Num Pods, Iteration, Total Latency (ms), Average Latency per Pod (ms), Batch Readiness Time (ms), Average Batch Readiness Time (ms), Final Average Latency per Pod for all iterations (ms)
codeco, 10, 1, 30231, 3023, 3877, 3166, 2410
codeco, 10, 2, 20769, 2076, 2921, 3166, 2410
codeco, 10, 3, 24552, 2455, 3165, 3166, 2410
codeco, 10, 4, 23048, 2304, 3014, 3166, 2410
codeco, 10, 5, 23064, 2306, 3019, 3166, 2410
codeco, 10, 6, 22946, 2294, 3003, 3166, 2410
codeco, 100, 1, 980216, 9802, 18334, 18503, 9942
codeco, 100, 2, 992660, 9926, 18414, 18503, 9942
codeco, 100, 3, 986173, 9861, 18369, 18503, 9942
codeco, 100, 4, 973846, 9738, 18277, 18503, 9942
codeco, 100, 5, 1045370, 10453, 19111, 18503, 9942
codeco, 100, 6, 987290, 9872, 18514, 18503, 9942
codeco, 150, 1, 2197644, 14650, 27740, 27634, 14563
codeco, 150, 2, 2187165, 14581, 27665, 27634, 14563
codeco, 150, 3, 2176518, 14510, 27539, 27634, 14563
codeco, 150, 4, 2178737, 14524, 27533, 27634, 14563
codeco, 150, 5, 2181465, 14543, 27630, 27634, 14563
codeco, 150, 6, 2186035, 14573, 27697, 27634, 14563
codeco, 50, 1, 298442, 5968, 10180, 9842, 5747
codeco, 50, 2, 282313, 5646, 9732, 9842, 5747
codeco, 50, 3, 291498, 5829, 9885, 9842, 5747
codeco, 50, 4, 264599, 5291, 9369, 9842, 5747
codeco, 50, 5, 285354, 5707, 9805, 9842, 5747
codeco, 50, 6, 302013, 6040, 10086, 9842, 5747
