Plugin, Num Pods, Iteration, Total Delete Latency (ms), Average Delete Latency per Pod (ms), Batch Delete Time (ms), Average Batch Delete Time (ms), Final Average Delete Latency per Pod for all iterations (ms)
codeco, 10, 1, 18900, 1890, 2446, 2146, 1812
codeco, 10, 2, 18241, 1824, 2250, 2146, 1812
codeco, 10, 3, 17702, 1770, 2025, 2146, 1812
codeco, 10, 4, 17980, 1798, 2059, 2146, 1812
codeco, 10, 5, 18099, 1809, 2060, 2146, 1812
codeco, 10, 6, 17838, 1783, 2036, 2146, 1812
codeco, 100, 1, 441227, 4412, 7641, 7620, 4386
codeco, 100, 2, 427452, 4274, 7422, 7620, 4386
codeco, 100, 3, 418278, 4182, 7411, 7620, 4386
codeco, 100, 4, 457005, 4570, 7758, 7620, 4386
codeco, 100, 5, 433600, 4336, 7689, 7620, 4386
codeco, 100, 6, 454240, 4542, 7803, 7620, 4386
codeco, 50, 1, 145445, 2908, 4479, 4470, 2951
codeco, 50, 2, 132904, 2658, 4157, 4470, 2951
codeco, 50, 3, 137438, 2748, 4230, 4470, 2951
codeco, 50, 4, 148397, 2967, 4504, 4470, 2951
codeco, 50, 5, 156467, 3129, 4608, 4470, 2951
codeco, 50, 6, 164815, 3296, 4843, 4470, 2951
codeco, 150, 1, 986863, 6579, 11485, 11446, 6528
codeco, 150, 2, 914044, 6093, 10963, 11446, 6528
codeco, 150, 3, 961145, 6407, 11239, 11446, 6528
codeco, 150, 4, 992478, 6616, 11429, 11446, 6528
codeco, 150, 5, 973936, 6492, 11358, 11446, 6528
codeco, 150, 6, 1046797, 6978, 12202, 11446, 6528
