Pod Name, Creation Timestamp, Ready Timestamp, Latency (milliseconds)
pause-pod-1-1, 1763673437305, 1763673439418, 2113
pause-pod-1-2, 1763673437306, 1763673439576, 2270
pause-pod-1-3, 1763673437308, 1763673439730, 2422
pause-pod-1-4, 1763673437309, 1763673439885, 2576
pause-pod-1-5, 1763673437311, 1763673440402, 3091
pause-pod-1-6, 1763673437313, 1763673440558, 3245
pause-pod-1-7, 1763673437315, 1763673440713, 3398
pause-pod-1-8, 1763673437317, 1763673440868, 3551
pause-pod-1-9, 1763673437319, 1763673441025, 3706
pause-pod-1-10, 1763673437321, 1763673441180, 3859
pause-pod-2-1, 1763673503705, 1763673504551, 846
pause-pod-2-2, 1763673503707, 1763673504707, 1000
pause-pod-2-3, 1763673503709, 1763673505539, 1830
pause-pod-2-4, 1763673503711, 1763673505695, 1984
pause-pod-2-5, 1763673503713, 1763673505850, 2137
pause-pod-2-6, 1763673503716, 1763673506005, 2289
pause-pod-2-7, 1763673503718, 1763673506160, 2442
pause-pod-2-8, 1763673503721, 1763673506316, 2595
pause-pod-2-9, 1763673503723, 1763673506471, 2748
pause-pod-2-10, 1763673503726, 1763673506624, 2898
pause-pod-3-1, 1763673568952, 1763673570717, 1765
pause-pod-3-2, 1763673568954, 1763673570872, 1918
pause-pod-3-3, 1763673568956, 1763673571027, 2071
pause-pod-3-4, 1763673568957, 1763673571184, 2227
pause-pod-3-5, 1763673568959, 1763673571339, 2380
pause-pod-3-6, 1763673568962, 1763673571494, 2532
pause-pod-3-7, 1763673568964, 1763673571649, 2685
pause-pod-3-8, 1763673568966, 1763673571804, 2838
pause-pod-3-9, 1763673568969, 1763673571960, 2991
pause-pod-3-10, 1763673568971, 1763673572116, 3145
pause-pod-4-1, 1763673634220, 1763673635832, 1612
pause-pod-4-2, 1763673634222, 1763673635990, 1768
pause-pod-4-3, 1763673634223, 1763673636145, 1922
pause-pod-4-4, 1763673634225, 1763673636300, 2075
pause-pod-4-5, 1763673634227, 1763673636455, 2228
pause-pod-4-6, 1763673634228, 1763673636611, 2383
pause-pod-4-7, 1763673634231, 1763673636766, 2535
pause-pod-4-8, 1763673634233, 1763673636922, 2689
pause-pod-4-9, 1763673634235, 1763673637077, 2842
pause-pod-4-10, 1763673634238, 1763673637232, 2994
pause-pod-5-1, 1763673699371, 1763673700984, 1613
pause-pod-5-2, 1763673699373, 1763673701142, 1769
pause-pod-5-3, 1763673699375, 1763673701298, 1923
pause-pod-5-4, 1763673699377, 1763673701453, 2076
pause-pod-5-5, 1763673699379, 1763673701610, 2231
pause-pod-5-6, 1763673699381, 1763673701765, 2384
pause-pod-5-7, 1763673699383, 1763673701921, 2538
pause-pod-5-8, 1763673699386, 1763673702076, 2690
pause-pod-5-9, 1763673699389, 1763673702233, 2844
pause-pod-5-10, 1763673699391, 1763673702387, 2996
pause-pod-6-1, 1763673764526, 1763673766130, 1604
pause-pod-6-2, 1763673764528, 1763673766287, 1759
pause-pod-6-3, 1763673764529, 1763673766442, 1913
pause-pod-6-4, 1763673764531, 1763673766596, 2065
pause-pod-6-5, 1763673764533, 1763673766750, 2217
pause-pod-6-6, 1763673764534, 1763673766905, 2371
pause-pod-6-7, 1763673764537, 1763673767060, 2523
pause-pod-6-8, 1763673764539, 1763673767218, 2679
pause-pod-6-9, 1763673764541, 1763673767373, 2832
pause-pod-6-10, 1763673764544, 1763673767527, 2983
