Plugin, Num Pods, Iteration, Total Latency (ms), Average Latency per Pod (ms), Batch Readiness Time (ms), Average Batch Readiness Time (ms), Final Average Latency per Pod for all iterations (ms)
k8s, 10, 1, 49839, 4983, 5776, 4659, 3884
k8s, 10, 2, 40362, 4036, 4877, 4659, 3884
k8s, 10, 3, 36652, 3665, 4530, 4659, 3884
k8s, 10, 4, 42710, 4271, 4978, 4659, 3884
k8s, 10, 5, 29393, 2939, 3675, 4659, 3884
k8s, 10, 6, 34132, 3413, 4120, 4659, 3884
k8s, 100, 1, 2281579, 22815, 31917, 33573, 24568
k8s, 100, 2, 2265341, 22653, 31726, 33573, 24568
k8s, 100, 3, 2625641, 26256, 35417, 33573, 24568
k8s, 100, 4, 2432222, 24322, 33683, 33573, 24568
k8s, 100, 5, 2557140, 25571, 34272, 33573, 24568
k8s, 100, 6, 2579251, 25792, 34427, 33573, 24568
k8s, 150, 1, 5152569, 34350, 48706, 52459, 38455
k8s, 150, 2, 5791620, 38610, 53097, 52459, 38455
k8s, 150, 3, 5986798, 39911, 52853, 52459, 38455
k8s, 150, 4, 5914145, 39427, 52710, 52459, 38455
k8s, 150, 5, 6515027, 43433, 59202, 52459, 38455
k8s, 150, 6, 5250188, 35001, 48189, 52459, 38455
k8s, 50, 1, 621089, 12421, 16968, 17766, 13422
k8s, 50, 2, 696422, 13928, 18188, 17766, 13422
k8s, 50, 3, 721591, 14431, 18647, 17766, 13422
k8s, 50, 4, 632421, 12648, 16991, 17766, 13422
k8s, 50, 5, 682072, 13641, 17844, 17766, 13422
k8s, 50, 6, 673271, 13465, 17960, 17766, 13422
