Plugin, Num Pods, Iteration, Total Delete Latency (ms), Average Delete Latency per Pod (ms), Batch Delete Time (ms), Average Batch Delete Time (ms), Final Average Delete Latency per Pod for all iterations (ms)
k8s, 10, 1, 27494, 2749, 3170, 2880, 2545
k8s, 10, 2, 18955, 1895, 2198, 2880, 2545
k8s, 10, 3, 22819, 2281, 2536, 2880, 2545
k8s, 10, 4, 28050, 2805, 3059, 2880, 2545
k8s, 10, 5, 27424, 2742, 3268, 2880, 2545
k8s, 10, 6, 28002, 2800, 3054, 2880, 2545
k8s, 100, 1, 1555379, 15553, 19074, 19291, 15733
k8s, 100, 2, 1554542, 15545, 18932, 19291, 15733
k8s, 100, 3, 1629519, 16295, 19769, 19291, 15733
k8s, 100, 4, 1521052, 15210, 18791, 19291, 15733
k8s, 100, 5, 1635483, 16354, 20079, 19291, 15733
k8s, 100, 6, 1544185, 15441, 19101, 19291, 15733
k8s, 150, 1, 5226244, 34841, 47904, 31746, 25515
k8s, 150, 2, 3791846, 25278, 30219, 31746, 25515
k8s, 150, 3, 3598061, 23987, 29071, 31746, 25515
k8s, 150, 4, 3433042, 22886, 27648, 31746, 25515
k8s, 150, 5, 3503320, 23355, 28050, 31746, 25515
k8s, 150, 6, 3411598, 22743, 27585, 31746, 25515
k8s, 50, 1, 399706, 7994, 9566, 10065, 8451
k8s, 50, 2, 420130, 8402, 10049, 10065, 8451
k8s, 50, 3, 448506, 8970, 10706, 10065, 8451
k8s, 50, 4, 445370, 8907, 10465, 10065, 8451
k8s, 50, 5, 379897, 7597, 9254, 10065, 8451
k8s, 50, 6, 441778, 8835, 10351, 10065, 8451
