Pod Name, Creation Timestamp, Ready Timestamp, Latency (milliseconds)
pause-pod-1-1, 1763674253171, 1763674256962, 3791
pause-pod-1-2, 1763674253174, 1763674258600, 5426
pause-pod-1-3, 1763674253176, 1763674265632, 12456
pause-pod-1-4, 1763674253178, 1763674265804, 12626
pause-pod-1-5, 1763674253180, 1763674266634, 13454
pause-pod-1-6, 1763674253183, 1763674266792, 13609
pause-pod-1-7, 1763674253186, 1763674266950, 13764
pause-pod-1-8, 1763674253188, 1763674267106, 13918
pause-pod-1-9, 1763674253192, 1763674267262, 14070
pause-pod-1-10, 1763674253195, 1763674267419, 14224
pause-pod-1-11, 1763674253199, 1763674267575, 14376
pause-pod-1-12, 1763674253201, 1763674270020, 16819
pause-pod-1-13, 1763674253204, 1763674270176, 16972
pause-pod-1-14, 1763674253207, 1763674270332, 17125
pause-pod-1-15, 1763674253212, 1763674270488, 17276
pause-pod-1-16, 1763674253238, 1763674270644, 17406
pause-pod-1-17, 1763674253245, 1763674270800, 17555
pause-pod-1-18, 1763674253248, 1763674270957, 17709
pause-pod-1-19, 1763674253252, 1763674271113, 17861
pause-pod-1-20, 1763674253258, 1763674271268, 18010
pause-pod-1-21, 1763674253265, 1763674272764, 19499
pause-pod-1-22, 1763674253271, 1763674272925, 19654
pause-pod-1-23, 1763674253292, 1763674273081, 19789
pause-pod-1-24, 1763674253308, 1763674273239, 19931
pause-pod-1-25, 1763674253333, 1763674273395, 20062
pause-pod-1-26, 1763674253336, 1763674273552, 20216
pause-pod-1-27, 1763674253368, 1763674273728, 20360
pause-pod-1-28, 1763674253389, 1763674273885, 20496
pause-pod-1-29, 1763674253424, 1763674274040, 20616
pause-pod-1-30, 1763674253439, 1763674274195, 20756
pause-pod-1-31, 1763674253462, 1763674274350, 20888
pause-pod-1-32, 1763674253495, 1763674274505, 21010
pause-pod-1-33, 1763674253508, 1763674274660, 21152
pause-pod-1-34, 1763674253532, 1763674274816, 21284
pause-pod-1-35, 1763674253548, 1763674274971, 21423
pause-pod-1-36, 1763674253574, 1763674275126, 21552
pause-pod-1-37, 1763674253615, 1763674275280, 21665
pause-pod-1-38, 1763674253627, 1763674275434, 21807
pause-pod-1-39, 1763674253673, 1763674275589, 21916
pause-pod-1-40, 1763674253681, 1763674275744, 22063
pause-pod-1-41, 1763674253709, 1763674275900, 22191
pause-pod-1-42, 1763674253739, 1763674276055, 22316
pause-pod-1-43, 1763674253751, 1763674276211, 22460
pause-pod-1-44, 1763674253772, 1763674276366, 22594
pause-pod-1-45, 1763674253799, 1763674276521, 22722
pause-pod-1-46, 1763674253809, 1763674276677, 22868
pause-pod-1-47, 1763674253812, 1763674276833, 23021
pause-pod-1-48, 1763674253858, 1763674276988, 23130
pause-pod-1-49, 1763674253867, 1763674277144, 23277
pause-pod-1-50, 1763674253871, 1763674277301, 23430
pause-pod-1-51, 1763674253906, 1763674277456, 23550
pause-pod-1-52, 1763674253925, 1763674277612, 23687
pause-pod-1-53, 1763674253930, 1763674277767, 23837
pause-pod-1-54, 1763674253936, 1763674277923, 23987
pause-pod-1-55, 1763674253942, 1763674278079, 24137
pause-pod-1-56, 1763674253945, 1763674278234, 24289
pause-pod-1-57, 1763674253949, 1763674278389, 24440
pause-pod-1-58, 1763674253967, 1763674278546, 24579
pause-pod-1-59, 1763674253970, 1763674278701, 24731
pause-pod-1-60, 1763674253976, 1763674278858, 24882
pause-pod-1-61, 1763674253979, 1763674279013, 25034
pause-pod-1-62, 1763674253983, 1763674279169, 25186
pause-pod-1-63, 1763674253990, 1763674279325, 25335
pause-pod-1-64, 1763674254005, 1763674279480, 25475
pause-pod-1-65, 1763674254010, 1763674279636, 25626
pause-pod-1-66, 1763674254024, 1763674279790, 25766
pause-pod-1-67, 1763674254046, 1763674279945, 25899
pause-pod-1-68, 1763674254081, 1763674280101, 26020
pause-pod-1-69, 1763674254128, 1763674280256, 26128
pause-pod-1-70, 1763674254176, 1763674280411, 26235
pause-pod-1-71, 1763674254261, 1763674280567, 26306
pause-pod-1-72, 1763674254271, 1763674280722, 26451
pause-pod-1-73, 1763674254282, 1763674280877, 26595
pause-pod-1-74, 1763674254331, 1763674281032, 26701
pause-pod-1-75, 1763674254348, 1763674281189, 26841
pause-pod-1-76, 1763674254368, 1763674281345, 26977
pause-pod-1-77, 1763674254409, 1763674281501, 27092
pause-pod-1-78, 1763674254421, 1763674281656, 27235
pause-pod-1-79, 1763674254436, 1763674281812, 27376
pause-pod-1-80, 1763674254441, 1763674281967, 27526
pause-pod-1-81, 1763674254448, 1763674282123, 27675
pause-pod-1-82, 1763674254451, 1763674282279, 27828
pause-pod-1-83, 1763674254469, 1763674282435, 27966
pause-pod-1-84, 1763674254487, 1763674282591, 28104
pause-pod-1-85, 1763674254493, 1763674282745, 28252
pause-pod-1-86, 1763674254503, 1763674282901, 28398
pause-pod-1-87, 1763674254506, 1763674283057, 28551
pause-pod-1-88, 1763674254515, 1763674283214, 28699
pause-pod-1-89, 1763674254522, 1763674283370, 28848
pause-pod-1-90, 1763674254541, 1763674283526, 28985
pause-pod-1-91, 1763674254545, 1763674283682, 29137
pause-pod-1-92, 1763674254548, 1763674283837, 29289
pause-pod-1-93, 1763674254557, 1763674283993, 29436
pause-pod-1-94, 1763674254563, 1763674284150, 29587
pause-pod-1-95, 1763674254603, 1763674284305, 29702
pause-pod-1-96, 1763674254618, 1763674284461, 29843
pause-pod-1-97, 1763674254622, 1763674284618, 29996
pause-pod-1-98, 1763674254659, 1763674284774, 30115
pause-pod-1-99, 1763674254679, 1763674284929, 30250
pause-pod-1-100, 1763674254686, 1763674285086, 30400
pause-pod-2-1, 1763674364320, 1763674366266, 1946
pause-pod-2-2, 1763674364322, 1763674376068, 11746
pause-pod-2-3, 1763674364325, 1763674377075, 12750
pause-pod-2-4, 1763674364327, 1763674377232, 12905
pause-pod-2-5, 1763674364329, 1763674377389, 13060
pause-pod-2-6, 1763674364332, 1763674377546, 13214
pause-pod-2-7, 1763674364335, 1763674377702, 13367
pause-pod-2-8, 1763674364338, 1763674377859, 13521
pause-pod-2-9, 1763674364341, 1763674378015, 13674
pause-pod-2-10, 1763674364345, 1763674378171, 13826
pause-pod-2-11, 1763674364348, 1763674378328, 13980
pause-pod-2-12, 1763674364353, 1763674378485, 14132
pause-pod-2-13, 1763674364356, 1763674378640, 14284
pause-pod-2-14, 1763674364360, 1763674382124, 17764
pause-pod-2-15, 1763674364363, 1763674382280, 17917
pause-pod-2-16, 1763674364381, 1763674382436, 18055
pause-pod-2-17, 1763674364385, 1763674382595, 18210
pause-pod-2-18, 1763674364388, 1763674382752, 18364
pause-pod-2-19, 1763674364394, 1763674382909, 18515
pause-pod-2-20, 1763674364403, 1763674383066, 18663
pause-pod-2-21, 1763674364418, 1763674383224, 18806
pause-pod-2-22, 1763674364423, 1763674383381, 18958
pause-pod-2-23, 1763674364434, 1763674383540, 19106
pause-pod-2-24, 1763674364437, 1763674383700, 19263
pause-pod-2-25, 1763674364451, 1763674384161, 19710
pause-pod-2-26, 1763674364465, 1763674384501, 20036
pause-pod-2-27, 1763674364489, 1763674384657, 20168
pause-pod-2-28, 1763674364503, 1763674384812, 20309
pause-pod-2-29, 1763674364530, 1763674384967, 20437
pause-pod-2-30, 1763674364571, 1763674385124, 20553
pause-pod-2-31, 1763674364592, 1763674385281, 20689
pause-pod-2-32, 1763674364621, 1763674385436, 20815
pause-pod-2-33, 1763674364698, 1763674385592, 20894
pause-pod-2-34, 1763674364724, 1763674385747, 21023
pause-pod-2-35, 1763674364727, 1763674385902, 21175
pause-pod-2-36, 1763674364731, 1763674386058, 21327
pause-pod-2-37, 1763674364752, 1763674386213, 21461
pause-pod-2-38, 1763674364778, 1763674386369, 21591
pause-pod-2-39, 1763674364788, 1763674386526, 21738
pause-pod-2-40, 1763674364800, 1763674386681, 21881
pause-pod-2-41, 1763674364827, 1763674386836, 22009
pause-pod-2-42, 1763674364852, 1763674386992, 22140
pause-pod-2-43, 1763674364859, 1763674387149, 22290
pause-pod-2-44, 1763674364898, 1763674387304, 22406
pause-pod-2-45, 1763674364902, 1763674387458, 22556
pause-pod-2-46, 1763674364927, 1763674387614, 22687
pause-pod-2-47, 1763674364932, 1763674387770, 22838
pause-pod-2-48, 1763674364935, 1763674387926, 22991
pause-pod-2-49, 1763674364940, 1763674388081, 23141
pause-pod-2-50, 1763674364956, 1763674388236, 23280
pause-pod-2-51, 1763674365000, 1763674388392, 23392
pause-pod-2-52, 1763674365008, 1763674388548, 23540
pause-pod-2-53, 1763674365013, 1763674388705, 23692
pause-pod-2-54, 1763674365031, 1763674388861, 23830
pause-pod-2-55, 1763674365050, 1763674389018, 23968
pause-pod-2-56, 1763674365081, 1763674389174, 24093
pause-pod-2-57, 1763674365089, 1763674389330, 24241
pause-pod-2-58, 1763674365103, 1763674389487, 24384
pause-pod-2-59, 1763674365149, 1763674389643, 24494
pause-pod-2-60, 1763674365154, 1763674389799, 24645
pause-pod-2-61, 1763674365157, 1763674389955, 24798
pause-pod-2-62, 1763674365173, 1763674390111, 24938
pause-pod-2-63, 1763674365181, 1763674390267, 25086
pause-pod-2-64, 1763674365213, 1763674390422, 25209
pause-pod-2-65, 1763674365230, 1763674390578, 25348
pause-pod-2-66, 1763674365237, 1763674390735, 25498
pause-pod-2-67, 1763674365291, 1763674390891, 25600
pause-pod-2-68, 1763674365361, 1763674391046, 25685
pause-pod-2-69, 1763674365365, 1763674391202, 25837
pause-pod-2-70, 1763674365371, 1763674391358, 25987
pause-pod-2-71, 1763674365381, 1763674391514, 26133
pause-pod-2-72, 1763674365395, 1763674391670, 26275
pause-pod-2-73, 1763674365407, 1763674391826, 26419
pause-pod-2-74, 1763674365415, 1763674391981, 26566
pause-pod-2-75, 1763674365443, 1763674392137, 26694
pause-pod-2-76, 1763674365483, 1763674392292, 26809
pause-pod-2-77, 1763674365491, 1763674392448, 26957
pause-pod-2-78, 1763674365506, 1763674392604, 27098
pause-pod-2-79, 1763674365510, 1763674392760, 27250
pause-pod-2-80, 1763674365518, 1763674392917, 27399
pause-pod-2-81, 1763674365548, 1763674393073, 27525
pause-pod-2-82, 1763674365553, 1763674393229, 27676
pause-pod-2-83, 1763674365567, 1763674393386, 27819
pause-pod-2-84, 1763674365573, 1763674393543, 27970
pause-pod-2-85, 1763674365577, 1763674393700, 28123
pause-pod-2-86, 1763674365597, 1763674393856, 28259
pause-pod-2-87, 1763674365616, 1763674394012, 28396
pause-pod-2-88, 1763674365630, 1763674394168, 28538
pause-pod-2-89, 1763674365689, 1763674394325, 28636
pause-pod-2-90, 1763674365701, 1763674394482, 28781
pause-pod-2-91, 1763674365715, 1763674394638, 28923
pause-pod-2-92, 1763674365728, 1763674394794, 29066
pause-pod-2-93, 1763674365737, 1763674394950, 29213
pause-pod-2-94, 1763674365743, 1763674395108, 29365
pause-pod-2-95, 1763674365752, 1763674395264, 29512
pause-pod-2-96, 1763674365805, 1763674395420, 29615
pause-pod-2-97, 1763674365827, 1763674395575, 29748
pause-pod-2-98, 1763674365834, 1763674395731, 29897
pause-pod-2-99, 1763674365839, 1763674395888, 30049
pause-pod-2-100, 1763674365850, 1763674396044, 30194
pause-pod-3-1, 1763674475137, 1763674477441, 2304
pause-pod-3-2, 1763674475139, 1763674481831, 6692
pause-pod-3-3, 1763674475140, 1763674484453, 9313
pause-pod-3-4, 1763674475142, 1763674486468, 11326
pause-pod-3-5, 1763674475144, 1763674490493, 15349
pause-pod-3-6, 1763674475147, 1763674490652, 15505
pause-pod-3-7, 1763674475149, 1763674490807, 15658
pause-pod-3-8, 1763674475151, 1763674490963, 15812
pause-pod-3-9, 1763674475155, 1763674491119, 15964
pause-pod-3-10, 1763674475157, 1763674496532, 21375
pause-pod-3-11, 1763674475160, 1763674496691, 21531
pause-pod-3-12, 1763674475164, 1763674496847, 21683
pause-pod-3-13, 1763674475172, 1763674497003, 21831
pause-pod-3-14, 1763674475180, 1763674497159, 21979
pause-pod-3-15, 1763674475183, 1763674497315, 22132
pause-pod-3-16, 1763674475186, 1763674497472, 22286
pause-pod-3-17, 1763674475192, 1763674497627, 22435
pause-pod-3-18, 1763674475225, 1763674497783, 22558
pause-pod-3-19, 1763674475271, 1763674497939, 22668
pause-pod-3-20, 1763674475274, 1763674498095, 22821
pause-pod-3-21, 1763674475299, 1763674498252, 22953
pause-pod-3-22, 1763674475367, 1763674498408, 23041
pause-pod-3-23, 1763674475386, 1763674498564, 23178
pause-pod-3-24, 1763674475401, 1763674498719, 23318
