Pod Name, Delete Start Timestamp, Deleted Confirmed Timestamp, Delete Latency (milliseconds)
pause-pod-1-1, 1763673325656, 1763673326661, 1005
pause-pod-1-2, 1763673325658, 1763673328393, 2735
pause-pod-1-3, 1763673325659, 1763673328448, 2789
pause-pod-1-4, 1763673325661, 1763673328501, 2840
pause-pod-1-5, 1763673325663, 1763673328555, 2892
pause-pod-1-6, 1763673325665, 1763673328608, 2943
pause-pod-1-7, 1763673325667, 1763673328662, 2995
pause-pod-1-8, 1763673325669, 1763673328716, 3047
pause-pod-1-9, 1763673325671, 1763673328769, 3098
pause-pod-1-10, 1763673325673, 1763673328823, 3150
pause-pod-2-1, 1763673393778, 1763673395034, 1256
pause-pod-2-2, 1763673393780, 1763673395535, 1755
pause-pod-2-3, 1763673393782, 1763673395591, 1809
pause-pod-2-4, 1763673393784, 1763673395645, 1861
pause-pod-2-5, 1763673393786, 1763673395701, 1915
pause-pod-2-6, 1763673393788, 1763673395756, 1968
pause-pod-2-7, 1763673393790, 1763673395810, 2020
pause-pod-2-8, 1763673393793, 1763673395865, 2072
pause-pod-2-9, 1763673393795, 1763673395919, 2124
pause-pod-2-10, 1763673393798, 1763673395973, 2175
pause-pod-3-1, 1763673460582, 1763673462630, 2048
pause-pod-3-2, 1763673460584, 1763673462684, 2100
pause-pod-3-3, 1763673460585, 1763673462737, 2152
pause-pod-3-4, 1763673460587, 1763673462790, 2203
pause-pod-3-5, 1763673460589, 1763673462845, 2256
pause-pod-3-6, 1763673460591, 1763673462900, 2309
pause-pod-3-7, 1763673460593, 1763673462954, 2361
pause-pod-3-8, 1763673460595, 1763673463007, 2412
pause-pod-3-9, 1763673460597, 1763673463061, 2464
pause-pod-3-10, 1763673460600, 1763673463114, 2514
pause-pod-4-1, 1763673528171, 1763673530739, 2568
pause-pod-4-2, 1763673528173, 1763673530794, 2621
pause-pod-4-3, 1763673528174, 1763673530849, 2675
pause-pod-4-4, 1763673528176, 1763673530902, 2726
pause-pod-4-5, 1763673528177, 1763673530956, 2779
pause-pod-4-6, 1763673528179, 1763673531009, 2830
pause-pod-4-7, 1763673528180, 1763673531064, 2884
pause-pod-4-8, 1763673528182, 1763673531119, 2937
pause-pod-4-9, 1763673528184, 1763673531173, 2989
pause-pod-4-10, 1763673528186, 1763673531227, 3041
pause-pod-5-1, 1763673594982, 1763673596400, 1418
pause-pod-5-2, 1763673594984, 1763673596456, 1472
pause-pod-5-3, 1763673594985, 1763673597867, 2882
pause-pod-5-4, 1763673594987, 1763673597922, 2935
pause-pod-5-5, 1763673594988, 1763673597976, 2988
pause-pod-5-6, 1763673594990, 1763673598031, 3041
pause-pod-5-7, 1763673594991, 1763673598084, 3093
pause-pod-5-8, 1763673594993, 1763673598139, 3146
pause-pod-5-9, 1763673594995, 1763673598193, 3198
pause-pod-5-10, 1763673594997, 1763673598248, 3251
pause-pod-6-1, 1763673662447, 1763673665012, 2565
pause-pod-6-2, 1763673662448, 1763673665069, 2621
pause-pod-6-3, 1763673662450, 1763673665122, 2672
pause-pod-6-4, 1763673662452, 1763673665175, 2723
pause-pod-6-5, 1763673662454, 1763673665228, 2774
pause-pod-6-6, 1763673662456, 1763673665282, 2826
pause-pod-6-7, 1763673662458, 1763673665336, 2878
pause-pod-6-8, 1763673662461, 1763673665390, 2929
pause-pod-6-9, 1763673662463, 1763673665444, 2981
pause-pod-6-10, 1763673662465, 1763673665498, 3033
