Plugin, Num Pods, Iteration, Total Latency (ms), Average Latency per Pod (ms), Batch Readiness Time (ms), Average Batch Readiness Time (ms), Final Average Latency per Pod for all iterations (ms)
k8s, 100, 1, 3968956, 39689, 55240, 53482, 36785
k8s, 100, 2, 3398678, 33986, 50382, 53482, 36785
k8s, 100, 3, 3723305, 37233, 55230, 53482, 36785
k8s, 100, 4, 3853704, 38537, 54046, 53482, 36785
k8s, 100, 5, 3628679, 36286, 53721, 53482, 36785
k8s, 100, 6, 3497817, 34978, 52273, 53482, 36785
k8s, 10, 1, 44986, 4498, 5491, 5834, 4709
k8s, 10, 2, 47352, 4735, 5922, 5834, 4709
k8s, 10, 3, 49756, 4975, 6020, 5834, 4709
k8s, 10, 4, 45908, 4590, 5759, 5834, 4709
k8s, 10, 5, 47343, 4734, 5758, 5834, 4709
k8s, 10, 6, 47202, 4720, 6054, 5834, 4709
k8s, 150, 1, 8241487, 54943, 82200, 81599, 56907
k8s, 150, 2, 8413045, 56086, 78669, 81599, 56907
k8s, 150, 3, 8487044, 56580, 81408, 81599, 56907
k8s, 150, 4, 8775766, 58505, 81318, 81599, 56907
k8s, 150, 5, 8630133, 57534, 83068, 81599, 56907
k8s, 150, 6, 8669684, 57797, 82931, 81599, 56907
k8s, 50, 1, 768139, 15362, 22128, 22798, 15991
k8s, 50, 2, 776717, 15534, 21849, 22798, 15991
k8s, 50, 3, 819713, 16394, 22884, 22798, 15991
k8s, 50, 4, 861808, 17236, 24309, 22798, 15991
k8s, 50, 5, 786623, 15732, 23253, 22798, 15991
k8s, 50, 6, 784520, 15690, 22367, 22798, 15991
