Plugin, Num Pods, Iteration, Total Delete Latency (ms), Average Delete Latency per Pod (ms), Batch Delete Time (ms), Average Batch Delete Time (ms), Final Average Delete Latency per Pod for all iterations (ms)
k8s, 100, 1, 2450455, 24504, 35098, 36144, 24679
k8s, 100, 2, 2478968, 24789, 36672, 36144, 24679
k8s, 100, 3, 2430531, 24305, 35520, 36144, 24679
k8s, 100, 4, 2372668, 23726, 37073, 36144, 24679
k8s, 100, 5, 2302978, 23029, 34213, 36144, 24679
k8s, 100, 6, 2771980, 27719, 38289, 36144, 24679
k8s, 10, 1, 46113, 4611, 5136, 4043, 3446
k8s, 10, 2, 33518, 3351, 4005, 4043, 3446
k8s, 10, 3, 36306, 3630, 4160, 4043, 3446
k8s, 10, 4, 26914, 2691, 3374, 4043, 3446
k8s, 10, 5, 28697, 2869, 3391, 4043, 3446
k8s, 10, 6, 35228, 3522, 4197, 4043, 3446
k8s, 150, 1, 7575540, 50503, 71569, 58200, 39729
k8s, 150, 2, 5387243, 35914, 56129, 58200, 39729
k8s, 150, 3, 7092745, 47284, 59395, 58200, 39729
k8s, 150, 4, 5494260, 36628, 54522, 58200, 39729
k8s, 150, 5, 5150756, 34338, 54848, 58200, 39729
k8s, 150, 6, 5056044, 33706, 52742, 58200, 39729
k8s, 50, 1, 498695, 9973, 14290, 14490, 10747
k8s, 50, 2, 535040, 10700, 14300, 14490, 10747
k8s, 50, 3, 491771, 9835, 14093, 14490, 10747
k8s, 50, 4, 510833, 10216, 13603, 14490, 10747
k8s, 50, 5, 579919, 11598, 15171, 14490, 10747
k8s, 50, 6, 607952, 12159, 15485, 14490, 10747
