Pod Name, Creation Timestamp, Ready Timestamp, Latency (milliseconds)
pause-pod-1-1, 1763674241898, 1763674252587, 10689
pause-pod-1-2, 1763674241901, 1763674252799, 10898
pause-pod-1-3, 1763674241913, 1763674253040, 11127
pause-pod-1-4, 1763674241923, 1763674253249, 11326
pause-pod-1-5, 1763674241929, 1763674267714, 25785
pause-pod-1-6, 1763674241947, 1763674267901, 25954
pause-pod-1-7, 1763674241961, 1763674268097, 26136
pause-pod-1-8, 1763674241975, 1763674268290, 26315
pause-pod-1-9, 1763674241994, 1763674268492, 26498
pause-pod-1-10, 1763674242003, 1763674268698, 26695
pause-pod-1-11, 1763674242017, 1763674274829, 32812
pause-pod-1-12, 1763674242065, 1763674275035, 32970
pause-pod-1-13, 1763674242083, 1763674275235, 33152
pause-pod-1-14, 1763674242120, 1763674275431, 33311
pause-pod-1-15, 1763674242177, 1763674275619, 33442
pause-pod-1-16, 1763674242192, 1763674275827, 33635
pause-pod-1-17, 1763674242226, 1763674276041, 33815
pause-pod-1-18, 1763674242240, 1763674276229, 33989
pause-pod-1-19, 1763674242293, 1763674276422, 34129
pause-pod-1-20, 1763674242348, 1763674276616, 34268
pause-pod-1-21, 1763674242397, 1763674276811, 34414
pause-pod-1-22, 1763674242459, 1763674277004, 34545
pause-pod-1-23, 1763674242484, 1763674277198, 34714
pause-pod-1-24, 1763674242513, 1763674277387, 34874
pause-pod-1-25, 1763674242553, 1763674277594, 35041
pause-pod-1-26, 1763674242610, 1763674277790, 35180
pause-pod-1-27, 1763674242656, 1763674277993, 35337
pause-pod-1-28, 1763674242744, 1763674278185, 35441
pause-pod-1-29, 1763674242790, 1763674278378, 35588
pause-pod-1-30, 1763674242826, 1763674278569, 35743
pause-pod-1-31, 1763674242947, 1763674278766, 35819
pause-pod-1-32, 1763674243027, 1763674278966, 35939
pause-pod-1-33, 1763674243112, 1763674279183, 36071
pause-pod-1-34, 1763674243160, 1763674283891, 40731
pause-pod-1-35, 1763674243196, 1763674284116, 40920
pause-pod-1-36, 1763674243290, 1763674284308, 41018
pause-pod-1-37, 1763674243377, 1763674284500, 41123
pause-pod-1-38, 1763674243420, 1763674284692, 41272
