Pod Name, Delete Start Timestamp, Deleted Confirmed Timestamp, Delete Latency (milliseconds)
pause-pod-1-1, 1763673679318, 1763673683970, 4652
pause-pod-1-2, 1763673679320, 1763673684107, 4787
pause-pod-1-3, 1763673679322, 1763673685032, 5710
pause-pod-1-4, 1763673679324, 1763673685145, 5821
pause-pod-1-5, 1763673679327, 1763673685974, 6647
pause-pod-1-6, 1763673679332, 1763673686065, 6733
pause-pod-1-7, 1763673679336, 1763673686153, 6817
pause-pod-1-8, 1763673679357, 1763673686261, 6904
pause-pod-1-9, 1763673679371, 1763673686365, 6994
pause-pod-1-10, 1763673679383, 1763673686449, 7066
pause-pod-1-11, 1763673679389, 1763673686549, 7160
pause-pod-1-12, 1763673679406, 1763673686644, 7238
pause-pod-1-13, 1763673679414, 1763673686737, 7323
pause-pod-1-14, 1763673679435, 1763673686828, 7393
pause-pod-1-15, 1763673679448, 1763673686920, 7472
pause-pod-1-16, 1763673679485, 1763673687019, 7534
pause-pod-1-17, 1763673679531, 1763673687115, 7584
pause-pod-1-18, 1763673679574, 1763673687201, 7627
pause-pod-1-19, 1763673679597, 1763673687313, 7716
pause-pod-1-20, 1763673679650, 1763673687399, 7749
pause-pod-1-21, 1763673679668, 1763673690755, 11087
pause-pod-1-22, 1763673679705, 1763673690912, 11207
pause-pod-1-23, 1763673679721, 1763673691142, 11421
pause-pod-1-24, 1763673679786, 1763673691229, 11443
pause-pod-1-25, 1763673679797, 1763673691328, 11531
pause-pod-1-26, 1763673679831, 1763673691415, 11584
pause-pod-1-27, 1763673679874, 1763673691511, 11637
pause-pod-1-28, 1763673680002, 1763673691594, 11592
pause-pod-1-29, 1763673680045, 1763673691694, 11649
pause-pod-1-30, 1763673680051, 1763673691788, 11737
pause-pod-1-31, 1763673680066, 1763673691876, 11810
pause-pod-1-32, 1763673680122, 1763673691968, 11846
pause-pod-1-33, 1763673680149, 1763673692062, 11913
pause-pod-1-34, 1763673680193, 1763673692154, 11961
pause-pod-1-35, 1763673680200, 1763673692241, 12041
pause-pod-1-36, 1763673680211, 1763673692329, 12118
pause-pod-1-37, 1763673680298, 1763673692418, 12120
pause-pod-1-38, 1763673680306, 1763673692511, 12205
pause-pod-1-39, 1763673680313, 1763673692603, 12290
pause-pod-1-40, 1763673680329, 1763673692696, 12367
pause-pod-1-41, 1763673680382, 1763673692780, 12398
pause-pod-1-42, 1763673680450, 1763673692873, 12423
pause-pod-1-43, 1763673680475, 1763673692970, 12495
pause-pod-1-44, 1763673680493, 1763673693064, 12571
pause-pod-1-45, 1763673680525, 1763673693157, 12632
pause-pod-1-46, 1763673680539, 1763673693244, 12705
pause-pod-1-47, 1763673680627, 1763673693334, 12707
pause-pod-1-48, 1763673680687, 1763673693419, 12732
pause-pod-1-49, 1763673680768, 1763673693513, 12745
pause-pod-1-50, 1763673680804, 1763673693605, 12801
pause-pod-2-1, 1763673775647, 1763673779894, 4247
pause-pod-2-2, 1763673775649, 1763673780609, 4960
pause-pod-2-3, 1763673775651, 1763673780697, 5046
pause-pod-2-4, 1763673775665, 1763673781624, 5959
pause-pod-2-5, 1763673775668, 1763673781719, 6051
pause-pod-2-6, 1763673775685, 1763673781808, 6123
pause-pod-2-7, 1763673775693, 1763673781900, 6207
pause-pod-2-8, 1763673775712, 1763673785741, 10029
pause-pod-2-9, 1763673775747, 1763673785957, 10210
pause-pod-2-10, 1763673775760, 1763673786070, 10310
pause-pod-2-11, 1763673775778, 1763673786160, 10382
pause-pod-2-12, 1763673775805, 1763673786255, 10450
pause-pod-2-13, 1763673775844, 1763673786345, 10501
pause-pod-2-14, 1763673775864, 1763673786442, 10578
pause-pod-2-15, 1763673775897, 1763673786534, 10637
pause-pod-2-16, 1763673775935, 1763673786772, 10837
pause-pod-2-17, 1763673775957, 1763673786882, 10925
pause-pod-2-18, 1763673775992, 1763673787001, 11009
pause-pod-2-19, 1763673776055, 1763673787098, 11043
pause-pod-2-20, 1763673776098, 1763673787191, 11093
pause-pod-2-21, 1763673776145, 1763673787281, 11136
pause-pod-2-22, 1763673776174, 1763673787373, 11199
pause-pod-2-23, 1763673776209, 1763673787467, 11258
pause-pod-2-24, 1763673776239, 1763673787551, 11312
pause-pod-2-25, 1763673776267, 1763673787659, 11392
pause-pod-2-26, 1763673776330, 1763673787749, 11419
pause-pod-2-27, 1763673776350, 1763673787838, 11488
pause-pod-2-28, 1763673776426, 1763673787929, 11503
pause-pod-2-29, 1763673776460, 1763673788020, 11560
pause-pod-2-30, 1763673776467, 1763673788112, 11645
pause-pod-2-31, 1763673776482, 1763673788200, 11718
pause-pod-2-32, 1763673776549, 1763673788287, 11738
pause-pod-2-33, 1763673776601, 1763673788376, 11775
pause-pod-2-34, 1763673776606, 1763673788473, 11867
pause-pod-2-35, 1763673776610, 1763673788571, 11961
pause-pod-2-36, 1763673776628, 1763673788670, 12042
pause-pod-2-37, 1763673776645, 1763673788760, 12115
pause-pod-2-38, 1763673776666, 1763673788846, 12180
pause-pod-2-39, 1763673776715, 1763673788941, 12226
pause-pod-2-40, 1763673776751, 1763673789028, 12277
pause-pod-2-41, 1763673776780, 1763673789120, 12340
pause-pod-2-42, 1763673776820, 1763673789212, 12392
pause-pod-2-43, 1763673776913, 1763673789307, 12394
pause-pod-2-44, 1763673776941, 1763673789393, 12452
pause-pod-2-45, 1763673777010, 1763673789482, 12472
pause-pod-2-46, 1763673777029, 1763673789575, 12546
pause-pod-2-47, 1763673777190, 1763673789668, 12478
pause-pod-2-48, 1763673777265, 1763673789758, 12493
pause-pod-2-49, 1763673777340, 1763673789847, 12507
pause-pod-2-50, 1763673777385, 1763673789943, 12558
pause-pod-3-1, 1763673873028, 1763673877253, 4225
pause-pod-3-2, 1763673873030, 1763673877383, 4353
pause-pod-3-3, 1763673873032, 1763673877525, 4493
pause-pod-3-4, 1763673873045, 1763673877646, 4601
pause-pod-3-5, 1763673873074, 1763673877748, 4674
pause-pod-3-6, 1763673873090, 1763673878499, 5409
pause-pod-3-7, 1763673873104, 1763673878607, 5503
pause-pod-3-8, 1763673873119, 1763673878694, 5575
pause-pod-3-9, 1763673873141, 1763673878784, 5643
pause-pod-3-10, 1763673873172, 1763673878872, 5700
pause-pod-3-11, 1763673873181, 1763673881598, 8417
pause-pod-3-12, 1763673873210, 1763673881700, 8490
pause-pod-3-13, 1763673873239, 1763673881803, 8564
pause-pod-3-14, 1763673873262, 1763673882310, 9048
pause-pod-3-15, 1763673873285, 1763673882426, 9141
pause-pod-3-16, 1763673873294, 1763673882529, 9235
pause-pod-3-17, 1763673873318, 1763673882626, 9308
pause-pod-3-18, 1763673873323, 1763673882721, 9398
pause-pod-3-19, 1763673873341, 1763673883304, 9963
pause-pod-3-20, 1763673873384, 1763673883412, 10028
pause-pod-3-21, 1763673873411, 1763673883768, 10357
pause-pod-3-22, 1763673873479, 1763673883979, 10500
pause-pod-3-23, 1763673873516, 1763673884369, 10853
pause-pod-3-24, 1763673873520, 1763673884476, 10956
pause-pod-3-25, 1763673873553, 1763673884574, 11021
pause-pod-3-26, 1763673873587, 1763673884669, 11082
pause-pod-3-27, 1763673873597, 1763673884758, 11161
pause-pod-3-28, 1763673873659, 1763673884849, 11190
pause-pod-3-29, 1763673873740, 1763673884941, 11201
pause-pod-3-30, 1763673873772, 1763673885031, 11259
pause-pod-3-31, 1763673873820, 1763673885353, 11533
pause-pod-3-32, 1763673873859, 1763673885454, 11595
pause-pod-3-33, 1763673873882, 1763673885542, 11660
pause-pod-3-34, 1763673873928, 1763673885632, 11704
pause-pod-3-35, 1763673873964, 1763673885720, 11756
pause-pod-3-36, 1763673874021, 1763673885823, 11802
pause-pod-3-37, 1763673874025, 1763673885914, 11889
pause-pod-3-38, 1763673874052, 1763673886002, 11950
pause-pod-3-39, 1763673874058, 1763673886088, 12030
pause-pod-3-40, 1763673874171, 1763673886175, 12004
pause-pod-3-41, 1763673874263, 1763673886265, 12002
pause-pod-3-42, 1763673874316, 1763673886351, 12035
pause-pod-3-43, 1763673874330, 1763673886440, 12110
pause-pod-3-44, 1763673874342, 1763673886539, 12197
pause-pod-3-45, 1763673874370, 1763673886630, 12260
