File,JobIterations,QPS,Burst,Webserver,Curl,Service,50th,99th,Max,Avg
kubelet-density-cni_jobIterations1_qps100_burst100_webserver1_curl1_service1_12.log,1,100,100,1,1,1,NA,2000,3000,2000
kubelet-density-cni_jobIterations1_qps100_burst100_webserver1_curl1_service1_18.log,1,100,100,1,1,1,NA,2500,3000,2500
kubelet-density-cni_jobIterations1_qps100_burst100_webserver1_curl1_service1_24.log,1,100,100,1,1,1,NA,2500,3000,2500
kubelet-density-cni_jobIterations1_qps100_burst100_webserver1_curl1_service1_30.log,1,100,100,1,1,1,NA,1000,1000,1000
kubelet-density-cni_jobIterations1_qps100_burst100_webserver1_curl1_service1_36.log,1,100,100,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps100_burst100_webserver1_curl1_service1_42.log,1,100,100,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps100_burst100_webserver1_curl1_service1_48.log,1,100,100,1,1,1,NA,2500,3000,2500
kubelet-density-cni_jobIterations1_qps100_burst100_webserver1_curl1_service1_54.log,1,100,100,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps100_burst100_webserver1_curl1_service1_6.log,1,100,100,1,1,1,NA,2000,3000,2000
kubelet-density-cni_jobIterations1_qps100_burst100_webserver1_curl1_service1_60.log,1,100,100,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps10_burst10_webserver1_curl1_service1_14.log,1,10,10,1,1,1,NA,2500,3000,2500
kubelet-density-cni_jobIterations1_qps10_burst10_webserver1_curl1_service1_2.log,1,10,10,1,1,1,NA,2000,3000,2000
kubelet-density-cni_jobIterations1_qps10_burst10_webserver1_curl1_service1_20.log,1,10,10,1,1,1,NA,2500,3000,2500
kubelet-density-cni_jobIterations1_qps10_burst10_webserver1_curl1_service1_26.log,1,10,10,1,1,1,NA,500,1000,500
kubelet-density-cni_jobIterations1_qps10_burst10_webserver1_curl1_service1_32.log,1,10,10,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps10_burst10_webserver1_curl1_service1_38.log,1,10,10,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps10_burst10_webserver1_curl1_service1_44.log,1,10,10,1,1,1,NA,2500,3000,2500
kubelet-density-cni_jobIterations1_qps10_burst10_webserver1_curl1_service1_50.log,1,10,10,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps10_burst10_webserver1_curl1_service1_56.log,1,10,10,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps10_burst10_webserver1_curl1_service1_8.log,1,10,10,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps1_burst1_webserver1_curl1_service1_1.log,1,1,1,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps1_burst1_webserver1_curl1_service1_13.log,1,1,1,1,1,1,NA,2000,2000,2000
kubelet-density-cni_jobIterations1_qps1_burst1_webserver1_curl1_service1_19.log,1,1,1,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps1_burst1_webserver1_curl1_service1_25.log,1,1,1,1,1,1,NA,2000,3000,2000
kubelet-density-cni_jobIterations1_qps1_burst1_webserver1_curl1_service1_31.log,1,1,1,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps1_burst1_webserver1_curl1_service1_37.log,1,1,1,1,1,1,NA,2500,3000,2500
kubelet-density-cni_jobIterations1_qps1_burst1_webserver1_curl1_service1_43.log,1,1,1,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps1_burst1_webserver1_curl1_service1_49.log,1,1,1,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps1_burst1_webserver1_curl1_service1_55.log,1,1,1,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps1_burst1_webserver1_curl1_service1_7.log,1,1,1,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps25_burst25_webserver1_curl1_service1_15.log,1,25,25,1,1,1,NA,2000,3000,2000
kubelet-density-cni_jobIterations1_qps25_burst25_webserver1_curl1_service1_21.log,1,25,25,1,1,1,NA,2500,3000,2500
kubelet-density-cni_jobIterations1_qps25_burst25_webserver1_curl1_service1_27.log,1,25,25,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps25_burst25_webserver1_curl1_service1_3.log,1,25,25,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps25_burst25_webserver1_curl1_service1_33.log,1,25,25,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps25_burst25_webserver1_curl1_service1_39.log,1,25,25,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps25_burst25_webserver1_curl1_service1_45.log,1,25,25,1,1,1,NA,2500,3000,2500
kubelet-density-cni_jobIterations1_qps25_burst25_webserver1_curl1_service1_51.log,1,25,25,1,1,1,NA,2500,3000,2500
kubelet-density-cni_jobIterations1_qps25_burst25_webserver1_curl1_service1_57.log,1,25,25,1,1,1,NA,1000,2000,1000
kubelet-density-cni_jobIterations1_qps25_burst25_webserver1_curl1_service1_9.log,1,25,25,1,1,1,NA,1500,2000,1500
kubelet-density-cni_jobIterations1_qps50_burst50_webserver1_curl1_service1_10.log,1,50,50,1,1,1,NA,2000,3000,2000
kubelet-density-cni_jobIterations1_qps50_burst50_webserver1_curl1_service1_16.log,1,50,50,1,1,1,NA,2000,3000,2000
