File,JobIterations,QPS,Burst,PostgresDeploy,App,PostgresService,50th,99th,Max,Avg
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_16.log,1,100,100,10,10,10,NA,36000,36000,18650
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_28.log,1,100,100,10,10,10,NA,35500,36000,19000
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_4.log,1,100,100,10,10,10,NA,35000,35000,18150
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_40.log,1,100,100,10,10,10,NA,35000,36000,18650
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_52.log,1,100,100,10,10,10,NA,35500,36000,19050
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_64.log,1,100,100,10,10,10,NA,35500,36000,18800
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_20.log,1,100,100,20,20,20,NA,37500,38000,19450
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_32.log,1,100,100,20,20,20,NA,37000,37000,18775
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_44.log,1,100,100,20,20,20,NA,36000,36000,18875
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_56.log,1,100,100,20,20,20,NA,35500,36000,18800
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_68.log,1,100,100,20,20,20,NA,36000,36000,19025
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_8.log,1,100,100,20,20,20,NA,35000,35000,18075
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_12.log,1,100,100,40,40,40,NA,35000,35000,17662
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_24.log,1,100,100,40,40,40,NA,35000,35000,18250
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_36.log,1,100,100,40,40,40,NA,36500,37000,18112
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_48.log,1,100,100,40,40,40,NA,34000,34000,18462
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_60.log,1,100,100,40,40,40,NA,35000,35000,18425
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_72.log,1,100,100,40,40,40,NA,35000,35000,18587
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_14.log,1,10,10,10,10,10,NA,35000,35000,18200
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_2.log,1,10,10,10,10,10,NA,34500,35000,17900
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_26.log,1,10,10,10,10,10,NA,34500,35000,18100
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_38.log,1,10,10,10,10,10,NA,33500,34000,17500
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_50.log,1,10,10,10,10,10,NA,34500,35000,17450
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_62.log,1,10,10,10,10,10,NA,34000,34000,17700
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_18.log,1,10,10,20,20,20,NA,34000,34000,17500
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_30.log,1,10,10,20,20,20,NA,33000,33000,17025
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_42.log,1,10,10,20,20,20,NA,33500,34000,17325
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_54.log,1,10,10,20,20,20,NA,33000,33000,17225
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_6.log,1,10,10,20,20,20,NA,34000,34000,17575
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy20_app20_postgres-service20_66.log,1,10,10,20,20,20,NA,34000,34000,17450
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_10.log,1,10,10,40,40,40,NA,34000,34000,17250
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_22.log,1,10,10,40,40,40,NA,34500,35000,17462
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_34.log,1,10,10,40,40,40,NA,34000,34000,17562
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_46.log,1,10,10,40,40,40,NA,34000,34000,17562
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_58.log,1,10,10,40,40,40,NA,34000,34000,17612
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy40_app40_postgres-service40_70.log,1,10,10,40,40,40,NA,34000,34000,17250
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_1.log,1,1,1,10,10,10,NA,33000,33000,17750
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_13.log,1,1,1,10,10,10,NA,33000,33000,16500
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_25.log,1,1,1,10,10,10,NA,33000,33000,16650
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_37.log,1,1,1,10,10,10,NA,33000,33000,16600
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_49.log,1,1,1,10,10,10,NA,32000,32000,16500
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy10_app10_postgres-service10_61.log,1,1,1,10,10,10,NA,33000,33000,16650
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_17.log,1,1,1,20,20,20,NA,43000,43000,17650
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_29.log,1,1,1,20,20,20,NA,43500,44000,17900
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_41.log,1,1,1,20,20,20,NA,43500,44000,17900
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_5.log,1,1,1,20,20,20,NA,42000,42000,17575
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_53.log,1,1,1,20,20,20,NA,42500,43000,18200
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy20_app20_postgres-service20_65.log,1,1,1,20,20,20,NA,42500,43000,17600
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_21.log,1,1,1,40,40,40,NA,74000,75000,24650
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_33.log,1,1,1,40,40,40,NA,72000,72000,24400
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_45.log,1,1,1,40,40,40,NA,72000,72000,24787
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_57.log,1,1,1,40,40,40,NA,82000,82000,25262
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_69.log,1,1,1,40,40,40,NA,72000,72000,25087
kubelet-density-heavy_jobIterations1_qps1_burst1_postgres-deploy40_app40_postgres-service40_9.log,1,1,1,40,40,40,NA,72000,72000,25000
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_15.log,1,50,50,10,10,10,NA,35000,36000,18850
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_27.log,1,50,50,10,10,10,NA,35000,35000,18550
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_3.log,1,50,50,10,10,10,NA,35000,35000,18700
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_39.log,1,50,50,10,10,10,NA,34000,34000,18300
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_51.log,1,50,50,10,10,10,NA,35500,36000,18500
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy10_app10_postgres-service10_63.log,1,50,50,10,10,10,NA,36000,36000,19250
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy20_app20_postgres-service20_19.log,1,50,50,20,20,20,NA,35500,36000,18325
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy20_app20_postgres-service20_31.log,1,50,50,20,20,20,NA,35000,35000,18250
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy20_app20_postgres-service20_43.log,1,50,50,20,20,20,NA,36500,37000,19125
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy20_app20_postgres-service20_55.log,1,50,50,20,20,20,NA,35500,36000,18575
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy20_app20_postgres-service20_67.log,1,50,50,20,20,20,NA,36000,36000,18750
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy20_app20_postgres-service20_7.log,1,50,50,20,20,20,NA,36000,36000,18300
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_11.log,1,50,50,40,40,40,NA,36500,37000,18500
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_23.log,1,50,50,40,40,40,NA,34000,34000,17875
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_35.log,1,50,50,40,40,40,NA,34500,35000,17712
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_47.log,1,50,50,40,40,40,NA,35500,36000,18000
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_59.log,1,50,50,40,40,40,NA,34500,35000,17900
kubelet-density-heavy_jobIterations1_qps50_burst50_postgres-deploy40_app40_postgres-service40_71.log,1,50,50,40,40,40,NA,34000,34000,17637
