File,JobIterations,QPS,Burst,PostgresDeploy,App,PostgresService,50th,99th,Max,Avg
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_16.log,1,100,100,10,10,10,NA,42500,43000,23400
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_28.log,1,100,100,10,10,10,NA,41000,41000,22350
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_40.log,1,100,100,10,10,10,NA,40000,40000,21950
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_4.log,1,100,100,10,10,10,NA,42000,42000,23000
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_52.log,1,100,100,10,10,10,NA,40500,41000,21300
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy10_app10_postgres-service10_64.log,1,100,100,10,10,10,NA,38000,38000,21800
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_20.log,1,100,100,20,20,20,NA,47000,47000,24725
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_32.log,1,100,100,20,20,20,NA,49500,50000,27150
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_44.log,1,100,100,20,20,20,NA,47500,48000,25875
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_56.log,1,100,100,20,20,20,NA,48000,48000,26300
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_68.log,1,100,100,20,20,20,NA,48500,49000,26475
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy20_app20_postgres-service20_8.log,1,100,100,20,20,20,NA,48000,48000,25475
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_12.log,1,100,100,40,40,40,NA,73500,74000,40262
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_24.log,1,100,100,40,40,40,NA,72500,73000,39575
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_36.log,1,100,100,40,40,40,NA,73000,73000,39487
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_48.log,1,100,100,40,40,40,NA,88000,88000,47387
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_60.log,1,100,100,40,40,40,NA,84500,85000,47737
kubelet-density-heavy_jobIterations1_qps100_burst100_postgres-deploy40_app40_postgres-service40_72.log,1,100,100,40,40,40,NA,88000,89000,48925
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_14.log,1,10,10,10,10,10,NA,39500,40000,20950
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_26.log,1,10,10,10,10,10,NA,39500,40000,21550
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_2.log,1,10,10,10,10,10,NA,40500,41000,21650
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_38.log,1,10,10,10,10,10,NA,40000,40000,21150
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_50.log,1,10,10,10,10,10,NA,40500,41000,21850
kubelet-density-heavy_jobIterations1_qps10_burst10_postgres-deploy10_app10_postgres-service10_62.log,1,10,10,10,10,10,NA,38000,38000,21450
